fish.id,Strain,Sex,day,Treatment,camera,distance.from.bottom(cm),distance.from.center(cm),distance.travelled(cm),percent.explored,boldness.index,Ate_day_3,bold.median
23-395A,WIK,Female,01,Vehicle,c3,2.513935022,6.245624814,11.91188302,48.7,-2.51421271,Y,shy
23-395A,WIK,Female,02,Vehicle,c3,5.223488118,6.409078884,25.41909785,64.4,-2.51421271,Y,shy
23-395B,WIK,Male,01,Escitalopram,c4,4.009686505,7.425047914,28.37670607,52.8,-2.445481643,Y,shy
23-395B,WIK,Male,02,Escitalopram,c4,5.600063553,7.23237313,25.40612184,47.8,-2.445481643,Y,shy
23-399A,WIK,Male,01,Vehicle,c3,6.656336296,6.605510269,26.96104009,66.6,1.081799085,Y,bold
23-399A,WIK,Male,02,Vehicle,c3,5.610205873,6.515332466,30.17903864,70.9,1.081799085,Y,bold
23-399B,WIK,Female,01,Escitalopram,c4,4.680140864,6.620483517,18.26072894,58,-0.131071084,Y,shy
23-399B,WIK,Female,02,Escitalopram,c4,7.230041094,7.434573692,22.15625206,52.5,-0.131071084,Y,shy
23-400A,WIK,Female,01,Vehicle,c3,5.582331708,7.495879177,29.8624609,48.3,-0.78838834,Y,shy
23-400A,WIK,Female,02,Vehicle,c3,6.016674758,7.429667171,25.65328829,50.3,-0.78838834,Y,shy
23-400B,WIK,Male,01,Escitalopram,c4,5.258679597,7.230824264,27.37732192,53.2,-1.50965034,Y,shy
23-400B,WIK,Male,02,Escitalopram,c4,7.476096105,8.000125154,31.27096952,43.6,-1.50965034,Y,shy
23-400C,WIK,Male,01,Vehicle,c5,6.954231145,7.61887119,28.71620786,53.6,-0.256277427,Y,shy
23-400C,WIK,Male,02,Vehicle,c5,5.842977799,6.548941947,27.55102767,71.6,-0.256277427,Y,shy
23-401A,WIK,Male,01,Escitalopram,c3,4.245437101,4.73233235,32.60289904,69.2,-0.322577264,Y,shy
23-401A,WIK,Male,02,Escitalopram,c3,5.152072742,6.522730196,25.79608037,69.3,-0.322577264,Y,shy
23-401B,WIK,Female,01,Vehicle,c4,7.511556236,7.384533598,27.27352473,50.5,0.594690481,Y,bold
23-401B,WIK,Female,02,Vehicle,c4,6.192327384,7.483628387,31.18621784,45,0.594690481,Y,bold
23-401C,WIK,Female,01,Escitalopram,c5,5.491982941,7.369583168,25.8853957,54.9,-0.038395446,Y,shy
23-401C,WIK,Female,02,Escitalopram,c5,6.466727364,7.593751565,23.35270244,50.2,-0.038395446,Y,shy
23-401D,WIK,Male,01,Vehicle,c6,8.114023952,6.211299974,27.8481676,69.6,2.476011331,Y,bold
23-401D,WIK,Male,02,Vehicle,c6,3.401752136,5.436080165,58.5422369,44.1,2.476011331,Y,bold
23-402A,WIK,Female,01,Escitalopram,c3,5.445802265,5.748491807,21.25508892,68.4,1.575846572,Y,bold
23-402A,WIK,Female,02,Escitalopram,c3,4.771335739,5.71833956,19.25961661,62.1,1.575846572,Y,bold
23-402C,WIK,Male,01,Escitalopram,c5,8.404745375,7.274136116,29.65160428,53.6,0.775163402,Y,bold
23-402C,WIK,Male,02,Escitalopram,c5,8.295511392,7.085884284,26.18134958,56.8,0.775163402,Y,bold
23-403B,WIK,Female,01,Escitalopram,c4,8.863165598,6.160431362,21.40054346,59.2,2.433822255,Y,bold
